,index,Bioenergy,Hard Coal,Lignite,Natural Gas,Oil,Waste
67,3667,0.0,0.0,0.0,0.0,0.0,0.0
68,3668,0.0,0.0,0.0,0.0,0.0,0.0
69,3669,0.0,0.0,0.0,0.0,0.0,0.0
70,3670,0.0,0.0,0.0,0.0,0.0,0.0
71,3671,0.0,0.0,0.0,0.0,0.0,0.0
72,3672,0.0,0.0,0.0,0.0,0.0,0.0
73,3673,0.0,0.0,0.0,0.0,0.0,0.0
74,3674,0.0,0.0,0.0,0.0,0.0,0.0
75,3675,0.0,0.0,0.0,0.0,0.0,0.0
76,3676,0.0,0.0,0.0,0.0,0.0,0.0
77,3677,0.0,0.0,0.0,0.0,0.0,0.0
78,3678,0.0,0.0,0.0,0.0,0.0,0.0
79,3679,0.0,0.0,0.0,0.0,0.0,0.0
80,3680,0.0,0.0,0.0,0.0,0.0,0.0
81,3681,0.0,0.0,0.0,0.0,0.0,0.0
82,3682,0.0,0.0,0.0,0.0,0.0,0.0
83,3683,0.0,0.0,0.0,0.0,0.0,0.0
84,3684,0.0,0.0,0.0,0.0,0.0,0.0
85,3685,0.0,0.0,0.0,0.0,0.0,0.0
86,3686,0.0,0.0,0.0,0.0,0.0,0.0
87,3687,0.0,0.0,0.0,0.0,0.0,0.0
88,3688,0.0,0.0,0.0,0.0,0.0,0.0
89,3689,0.0,0.0,0.0,0.0,0.0,0.0
90,3690,0.0,0.0,0.0,0.0,0.0,0.0
91,3691,0.0,0.0,0.0,0.0,0.0,0.0
92,3692,0.0,0.0,0.0,0.0,0.0,0.0
93,3693,0.0,0.0,0.0,0.0,0.0,0.0
94,3694,0.0,0.0,0.0,0.0,0.0,0.0
95,3695,0.0,0.0,0.0,0.0,0.0,0.0
96,3696,0.0,0.0,0.0,0.0,0.0,0.0
97,3697,0.0,0.0,0.0,0.0,0.0,0.0
98,3698,0.0,0.0,0.0,0.0,0.0,0.0
99,3699,0.0,0.0,0.0,0.0,0.0,0.0
100,3700,0.0,0.0,0.0,0.0,0.0,0.0
101,3701,0.0,0.0,0.0,0.0,0.0,0.0
102,3702,0.0,0.0,0.0,0.0,0.0,0.0
103,3703,0.0,0.0,0.0,0.0,0.0,0.0
104,3704,0.0,0.0,0.0,0.0,0.0,0.0
105,3705,0.0,0.0,0.0,0.0,0.0,0.0
106,3706,0.0,0.0,0.0,0.0,0.0,0.0
107,3707,0.0,0.0,0.0,0.0,0.0,0.0
108,3708,0.0,0.0,0.0,0.0,0.0,0.0
109,3709,0.0,0.0,0.0,0.0,0.0,0.0
110,3710,0.0,0.0,0.0,0.0,0.0,0.0
111,3711,0.0,0.0,0.0,0.0,0.0,0.0
112,3712,0.0,0.0,0.0,0.0,0.0,0.0
113,3713,0.0,0.0,0.0,0.0,0.0,0.0
114,3714,0.0,0.0,0.0,0.0,0.0,0.0
115,3715,0.0,0.0,0.0,0.0,0.0,0.0
116,3716,0.0,0.0,0.0,0.0,0.0,0.0
117,3717,0.0,0.0,0.0,0.0,0.0,0.0
118,3718,0.0,0.0,0.0,0.0,0.0,0.0
119,3719,0.0,0.0,0.0,0.0,0.0,0.0
120,3720,0.0,0.0,0.0,0.0,0.0,0.0
121,3721,0.0,0.0,0.0,0.0,0.0,0.0
122,3722,0.0,0.0,0.0,0.0,0.0,0.0
123,3723,0.0,0.0,0.0,0.0,0.0,0.0
124,3724,0.0,0.0,0.0,0.0,0.0,0.0
125,3725,0.0,0.0,0.0,0.0,0.0,0.0
126,3726,0.0,0.0,0.0,0.0,0.0,0.0
127,3727,0.0,0.0,0.0,0.0,0.0,0.0
128,3728,0.0,0.0,0.0,0.0,0.0,0.0
129,3729,0.0,0.0,0.0,0.0,0.0,0.0
130,3730,0.0,0.0,0.0,0.0,0.0,0.0
131,3731,0.0,0.0,0.0,0.0,0.0,0.0
132,3732,0.0,0.0,0.0,0.0,0.0,0.0
133,3733,0.0,0.0,0.0,0.0,0.0,0.0
134,3734,0.0,0.0,0.0,0.0,0.0,0.0
135,3735,0.0,0.0,0.0,0.0,0.0,0.0
136,3736,0.0,0.0,0.0,0.0,0.0,0.0
137,3737,0.0,0.0,0.0,0.0,0.0,0.0
